code,type,object,code_name,error_name
"10160104","Data","User Info","Registry","Failed"
"10160105","Data","User Info","Registry","Failed by Time out"
"10160106","Data","User Info","Registry","Failed by Incorrect ID"
"10160107","Data","User Info","Registry","Failed by None Existed"
"10160108","Data","User Info","Registry","Failed by Verification"
"10160109","Data","User Info","Registry","Failed by already exist"
"1016010A","Data","User Info","Registry","Failed by Max Limit"
"1016010B","Data","User Info","Registry","Failed by Master not found"
"1016010C","Data","User Info","Registry","Failed by Master Max Limit"
"10160201","Data","User Info","Delete","Success"
"10160202","Data","User Info","Delete","All Success"
"10160203","Data","User Info","Delete","All Failed"
"10160204","Data","User Info","Delete","Failed"
"10160205","Data","User Info","Delete","Failed by Time out"
"10160206","Data","User Info","Delete","Failed by Incorrect ID"
"10160207","Data","User Info","Delete","Failed by None Existed"
"10160208","Data","User Info","Delete","Failed by Verification"
"10160209","Data","User Info","Delete","Failed by already exist"
"1016020A","Data","User Info","Delete","Failed by Max Limit"
"1016020B","Data","User Info","Delete","Failed by Master not found"
"1016020C","Data","User Info","Delete","Failed by Master Max Limit"
"10160301","Data","User Info","Change","Success"
"10160302","Data","User Info","Change","All Success"
"10160303","Data","User Info","Change","All Failed"
"10160304","Data","User Info","Change","Failed"
"10160305","Data","User Info","Change","Failed by Time out"
"10160306","Data","User Info","Change","Failed by Incorrect ID"
"10160307","Data","User Info","Change","Failed by None Existed"
"10160308","Data","User Info","Change","Failed by Verification"
"10160309","Data","User Info","Change","Failed by already exist"
"1016030A","Data","User Info","Change","Failed by Max Limit"
"1016030B","Data","User Info","Change","Failed by Master not found"
"1016030C","Data","User Info","Change","Failed by Master Max Limit"
"10170101","Data","User Card","Registry","Success"
"10170102","Data","User Card","Registry","All Success"
"10170103","Data","User Card","Registry","All Failed"
"10170104","Data","User Card","Registry","Failed"
"10170105","Data","User Card","Registry","Failed by Time out"
"10170106","Data","User Card","Registry","Failed by Incorrect ID"
"10170107","Data","User Card","Registry","Failed by None Existed"
"10170108","Data","User Card","Registry","Failed by Verification"
"10170109","Data","User Card","Registry","Failed by already exist"
"1017010A","Data","User Card","Registry","Failed by Max Limit"
"1017010B","Data","User Card","Registry","Failed by Master not found"
"1017010C","Data","User Card","Registry","Failed by Master Max Limit"
"10170201","Data","User Card","Delete","Success"
"10170202","Data","User Card","Delete","All Success"
"10170203","Data","User Card","Delete","All Failed"
"10170204","Data","User Card","Delete","Failed"
"10170205","Data","User Card","Delete","Failed by Time out"
"10170206","Data","User Card","Delete","Failed by Incorrect ID"
"10170207","Data","User Card","Delete","Failed by None Existed"
"10170208","Data","User Card","Delete","Failed by Verification"
"10170209","Data","User Card","Delete","Failed by already exist"
"1017020A","Data","User Card","Delete","Failed by Max Limit"
"1017020B","Data","User Card","Delete","Failed by Master not found"
"1017020C","Data","User Card","Delete","Failed by Master Max Limit"
"10170301","Data","User Card","Change","Success"
"10170302","Data","User Card","Change","All Success"
"10170303","Data","User Card","Change","All Failed"
"10170304","Data","User Card","Change","Failed"
"10170305","Data","User Card","Change","Failed by Time out"
"10170306","Data","User Card","Change","Failed by Incorrect ID"
"10170307","Data","User Card","Change","Failed by None Existed"
"10170308","Data","User Card","Change","Failed by Verification"
"10170309","Data","User Card","Change","Failed by already exist"
"1017030A","Data","User Card","Change","Failed by Max Limit"
"1017030B","Data","User Card","Change","Failed by Master not found"
"1017030C","Data","User Card","Change","Failed by Master Max Limit"
"10180101","Data","User Finger","Registry","Success"
"10180102","Data","User Finger","Registry","All Success"
"10180103","Data","User Finger","Registry","All Failed"
"10180104","Data","User Finger","Registry","Failed"
"10180105","Data","User Finger","Registry","Failed by Time out"
"10180106","Data","User Finger","Registry","Failed by Incorrect ID"
"10180107","Data","User Finger","Registry","Failed by None Existed"
"10180108","Data","User Finger","Registry","Failed by Verification"
"10180109","Data","User Finger","Registry","Failed by already exist"
"1018010A","Data","User Finger","Registry","Failed by Max Limit"
"1018010B","Data","User Finger","Registry","Failed by Master not found"
"1018010C","Data","User Finger","Registry","Failed by Master Max Limit"
"10180201","Data","User Finger","Delete","Success"
"10180202","Data","User Finger","Delete","All Success"
"10180203","Data","User Finger","Delete","All Failed"
"10180204","Data","User Finger","Delete","Failed"
"10180205","Data","User Finger","Delete","Failed by Time out"
"10180206","Data","User Finger","Delete","Failed by Incorrect ID"
"10180207","Data","User Finger","Delete","Failed by None Existed"
"10180208","Data","User Finger","Delete","Failed by Verification"
"10180209","Data","User Finger","Delete","Failed by already exist"
"1018020A","Data","User Finger","Delete","Failed by Max Limit"
"1018020B","Data","User Finger","Delete","Failed by Master not found"
"1018020C","Data","User Finger","Delete","Failed by Master Max Limit"
"10180301","Data","User Finger","Change","Success"
"10180302","Data","User Finger","Change","All Success"
"10180303","Data","User Finger","Change","All Failed"
"10180304","Data","User Finger","Change","Failed"
"10180305","Data","User Finger","Change","Failed by Time out"
"10180306","Data","User Finger","Change","Failed by Incorrect ID"
"10180307","Data","User Finger","Change","Failed by None Existed"
"10180308","Data","User Finger","Change","Failed by Verification"
"10180309","Data","User Finger","Change","Failed by already exist"
"1018030A","Data","User Finger","Change","Failed by Max Limit"
"1018030B","Data","User Finger","Change","Failed by Master not found"
"1018030C","Data","User Finger","Change","Failed by Master Max Limit"
"101C0101","Data","User Group Info","Registry","Success"
"101C0102","Data","User Group Info","Registry","All Success"
"101C0103","Data","User Group Info","Registry","All Failed"
"101C0104","Data","User Group Info","Registry","Failed"
"101C0105","Data","User Group Info","Registry","Failed by Time out"
"101C0106","Data","User Group Info","Registry","Failed by Incorrect ID"
"101C0107","Data","User Group Info","Registry","Failed by None Existed"
"101C0108","Data","User Group Info","Registry","Failed by Verification"
"101C0109","Data","User Group Info","Registry","Failed by already exist"
"101C010A","Data","User Group Info","Registry","Failed by Max Limit"
"101C010B","Data","User Group Info","Registry","Failed by Master not found"
"101C010C","Data","User Group Info","Registry","Failed by Master Max Limit"
"101C0201","Data","User Group Info","Delete","Success"
"101C0202","Data","User Group Info","Delete","All Success"
"101C0203","Data","User Group Info","Delete","All Failed"
"101C0204","Data","User Group Info","Delete","Failed"
"101C0205","Data","User Group Info","Delete","Failed by Time out"
"101C0206","Data","User Group Info","Delete","Failed by Incorrect ID"
"101C0207","Data","User Group Info","Delete","Failed by None Existed"
"101C0208","Data","User Group Info","Delete","Failed by Verification"
"101C0209","Data","User Group Info","Delete","Failed by already exist"
"101C020A","Data","User Group Info","Delete","Failed by Max Limit"
"101C020B","Data","User Group Info","Delete","Failed by Master not found"
"101C020C","Data","User Group Info","Delete","Failed by Master Max Limit"
"101C0301","Data","User Group Info","Change","Success"
"101C0302","Data","User Group Info","Change","All Success"
"101C0303","Data","User Group Info","Change","All Failed"
"101C0304","Data","User Group Info","Change","Failed"
"101C0305","Data","User Group Info","Change","Failed by Time out"
"101C0306","Data","User Group Info","Change","Failed by Incorrect ID"
"101C0307","Data","User Group Info","Change","Failed by None Existed"
"101C0308","Data","User Group Info","Change","Failed by Verification"
"101C0309","Data","User Group Info","Change","Failed by already exist"
"101C030A","Data","User Group Info","Change","Failed by Max Limit"
"101C030B","Data","User Group Info","Change","Failed by Master not found"
"101C030C","Data","User Group Info","Change","Failed by Master Max Limit"
"101D0101","Data","User File","Registry","Success"
"101D0102","Data","User File","Registry","All Success"
"101D0103","Data","User File","Registry","All Fail"
"101F0101","Data","Device","Registry","Success"
